mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
12.026061153411865,0.8674358640380282,0.9032415866851806,0.16764763433513674,10,1200,"{'max_features': 10, 'n_estimators': 1200}",0.7058823529411765,0.6984572230014026,0.6877637130801688,0.7080394922425952,0.7090395480225988,0.7049645390070922,0.6955903271692745,0.7085714285714285,0.68,0.7028571428571428,0.7001274246071074,0.00925216524686673,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.0700854063034058,0.3591938266237372,0.09204015731811524,0.02829595301853495,15,200,"{'max_features': 15, 'n_estimators': 200}",0.711484593837535,0.7054698457223001,0.6919831223628692,0.6981664315937941,0.7217514124293786,0.7106382978723405,0.701280227596017,0.7042857142857143,0.7,0.7071428571428572,0.7052244088914059,0.007850433957749875,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.235407447814941,0.3160497818494305,0.2012403726577759,0.039741785228950346,15,300,"{'max_features': 15, 'n_estimators': 300}",0.711484593837535,0.7082748948106592,0.6947960618846695,0.7094499294781382,0.7189265536723164,0.7134751773049646,0.6998577524893315,0.7028571428571428,0.6885714285714286,0.7171428571428572,0.7064986549624805,0.009306839788989545,37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7.386613035202027,0.6261910192408278,0.399360728263855,0.10138816308546117,15,500,"{'max_features': 15, 'n_estimators': 500}",0.7030812324929971,0.7012622720897616,0.6919831223628692,0.7094499294781382,0.7203389830508474,0.7120567375886525,0.705547652916074,0.7057142857142857,0.6914285714285714,0.7157142857142857,0.7056491575817642,0.008869772404085539,41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11.083819460868835,0.4642548154778652,0.6489611864089966,0.251658888377792,15,750,"{'max_features': 15, 'n_estimators': 750}",0.7100840336134454,0.7012622720897616,0.6976090014064698,0.7066290550070522,0.7175141242937854,0.7163120567375887,0.7041251778093883,0.7057142857142857,0.6957142857142857,0.7171428571428572,0.7072065694464109,0.0075283534940493585,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14.128944849967956,0.8428650013554195,0.8985615491867065,0.20437825741796123,15,1000,"{'max_features': 15, 'n_estimators': 1000}",0.7128851540616247,0.7068723702664796,0.6947960618846695,0.7136812411847673,0.7161016949152542,0.7163120567375887,0.7069701280227596,0.7014285714285714,0.6871428571428572,0.7128571428571429,0.7069234036528388,0.009245843499077892,36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16.48298900127411,0.771884575291235,1.0093217134475707,0.2639172663008394,15,1200,"{'max_features': 15, 'n_estimators': 1200}",0.7128851540616247,0.7026647966339411,0.6962025316455697,0.7080394922425952,0.7161016949152542,0.723404255319149,0.7069701280227596,0.7028571428571428,0.6857142857142857,0.7071428571428572,0.7062154891689084,0.009919638186253098,39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.35556583404541,0.6917147381412697,0.12480025291442871,0.036251178605035864,20,200,"{'max_features': 20, 'n_estimators': 200}",0.711484593837535,0.7040673211781207,0.7060478199718706,0.7080394922425952,0.7146892655367232,0.7063829787234043,0.7098150782361309,0.7028571428571428,0.6885714285714286,0.7114285714285714,0.7063570720656944,0.006836973495218899,38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5.55360975265503,0.3177968176980506,0.2246403932571411,0.045854568814222,20,300,"{'max_features': 20, 'n_estimators': 300}",0.7170868347338936,0.7026647966339411,0.7018284106891702,0.7052186177715092,0.7217514124293786,0.7106382978723405,0.701280227596017,0.6985714285714286,0.6957142857142857,0.7028571428571428,0.7057907404785502,0.00784132441895105,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9.728177094459534,1.0477645333461743,0.3697206974029541,0.13256357822780196,20,500,"{'max_features': 20, 'n_estimators': 500}",0.7198879551820728,0.7054698457223001,0.6962025316455697,0.7122708039492243,0.7203389830508474,0.7177304964539007,0.7027027027027027,0.71,0.7014285714285714,0.7128571428571429,0.7098966444853462,0.007854741213572368,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13.790424180030822,0.8341566440890836,0.6567611694335938,0.11828282558117498,20,750,"{'max_features': 20, 'n_estimators': 750}",0.7170868347338936,0.7068723702664796,0.6962025316455697,0.7080394922425952,0.7217514124293786,0.7205673758865249,0.701280227596017,0.71,0.6985714285714286,0.7157142857142857,0.709613478691774,0.008614099039812199,34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18.37527220249176,1.044094117522054,0.9157216787338257,0.23955565912752244,20,1000,"{'max_features': 20, 'n_estimators': 1000}",0.7198879551820728,0.7068723702664796,0.6976090014064698,0.7066290550070522,0.7203389830508474,0.7191489361702128,0.7027027027027027,0.7128571428571429,0.6971428571428572,0.7157142857142857,0.7098966444853462,0.00850033711184123,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
22.01163868904114,1.1596392987228514,1.1356820344924927,0.190524771961081,20,1200,"{'max_features': 20, 'n_estimators': 1200}",0.7170868347338936,0.7054698457223001,0.6962025316455697,0.7122708039492243,0.7231638418079096,0.7219858156028369,0.7027027027027027,0.7142857142857143,0.6985714285714286,0.7142857142857143,0.7106045589692765,0.008947631981383005,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.099687218666077,0.8317550830479964,0.11700012683868408,0.047955873401573104,25,200,"{'max_features': 25, 'n_estimators': 200}",0.7170868347338936,0.7110799438990182,0.69901547116737,0.7052186177715092,0.7203389830508474,0.724822695035461,0.7126600284495022,0.7042857142857143,0.6971428571428572,0.7228571428571429,0.7114540563499929,0.009320647074554633,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7.009092235565186,0.6979352229226817,0.2449204683303833,0.08798473624072972,25,300,"{'max_features': 25, 'n_estimators': 300}",0.7142857142857143,0.7054698457223001,0.7018284106891702,0.7009873060648801,0.7259887005649718,0.723404255319149,0.7069701280227596,0.71,0.69,0.7185714285714285,0.70975506158856,0.010494873047112172,33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11.30221984386444,0.5545473496547613,0.4134008169174194,0.14688075963339053,25,500,"{'max_features': 25, 'n_estimators': 500}",0.7198879551820728,0.7068723702664796,0.7032348804500703,0.7023977433004231,0.7288135593220338,0.7205673758865249,0.7098150782361309,0.7114285714285714,0.6985714285714286,0.7185714285714285,0.7120203879371372,0.009179123810780133,26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16.88702964782715,0.7588494696962722,0.7425612926483154,0.08112010222242699,25,750,"{'max_features': 25, 'n_estimators': 750}",0.7212885154061625,0.7026647966339411,0.7018284106891702,0.7066290550070522,0.7274011299435028,0.7219858156028369,0.7126600284495022,0.7085714285714285,0.6957142857142857,0.7157142857142857,0.7114540563499929,0.00965002814842988,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
22.518639540672304,1.0648604879727195,0.9157215595245362,0.19435031377836953,25,1000,"{'max_features': 25, 'n_estimators': 1000}",0.7198879551820728,0.7054698457223001,0.7046413502109705,0.7052186177715092,0.7274011299435028,0.7219858156028369,0.705547652916074,0.71,0.6914285714285714,0.7185714285714285,0.7110293076596347,0.0102083539165252,29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
